result,radmean,,textmean,,perimean,,areamean,,smoomean,,compmean,,concave,,copoints,,symmetry,,fractal,,radse,,textse,,perimtrse,,arease,,smoothse,,compse,,concavse,,conptse
4,16.07,,19.65,,104.1,,817.7,,0.09168,,0.08424,,0.09769,,0.06638,,0.1798,,0.05391,,0.7474,,1.016,,5.029,,79.25,,0.01082,,0.02203,,0.035,,0.01809
4,13.53,,10.94,,87.91,,559.2,,0.1291,,0.1047,,0.06877,,0.06556,,0.2403,,0.06641,,0.4101,,1.014,,2.652,,32.65,,0.0134,,0.02839,,0.01162,,0.008239
4,18.05,,16.15,,120.2,,1006,,0.1065,,0.2146,,0.1684,,0.108,,0.2152,,0.06673,,0.9806,,0.5505,,6.311,,134.8,,0.00794,,0.05839,,0.04658,,0.0207
4,20.18,,23.97,,143.7,,1245,,0.1286,,0.3454,,0.3754,,0.1604,,0.2906,,0.08142,,0.9317,,1.885,,8.649,,116.4,,0.01038,,0.06835,,0.1091,,0.02593
4,12.86,,18,,83.19,,506.3,,0.09934,,0.09546,,0.03889,,0.02315,,0.1718,,0.05997,,0.2655,,1.095,,1.778,,20.35,,0.005293,,0.01661,,0.02071,,0.008179
4,11.45,,20.97,,73.81,,401.5,,0.1102,,0.09362,,0.04591,,0.02233,,0.1842,,0.07005,,0.3251,,2.174,,2.077,,24.62,,0.01037,,0.01706,,0.02586,,0.007506
4,13.34,,15.86,,86.49,,520,,0.1078,,0.1535,,0.1169,,0.06987,,0.1942,,0.06902,,0.286,,1.016,,1.535,,12.96,,0.006794,,0.03575,,0.0398,,0.01383
4,25.22,,24.91,,171.5,,1878,,0.1063,,0.2665,,0.3339,,0.1845,,0.1829,,0.06782,,0.8973,,1.474,,7.382,,120,,0.008166,,0.05693,,0.0573,,0.0203
4,19.1,,26.29,,129.1,,1132,,0.1215,,0.1791,,0.1937,,0.1469,,0.1634,,0.07224,,0.519,,2.91,,5.801,,67.1,,0.007545,,0.0605,,0.02134,,0.01843
4,12,,15.65,,76.95,,443.3,,0.09723,,0.07165,,0.04151,,0.01863,,0.2079,,0.05968,,0.2271,,1.255,,1.441,,16.16,,0.005969,,0.01812,,0.02007,,0.007027
4,18.46,,18.52,,121.1,,1075,,0.09874,,0.1053,,0.1335,,0.08795,,0.2132,,0.06022,,0.6997,,1.475,,4.782,,80.6,,0.006471,,0.01649,,0.02806,,0.0142
4,14.48,,21.46,,94.25,,648.2,,0.09444,,0.09947,,0.1204,,0.04938,,0.2075,,0.05636,,0.4204,,2.22,,3.301,,38.87,,0.009369,,0.02983,,0.05371,,0.01761
4,19.02,,24.59,,122,,1076,,0.09029,,0.1206,,0.1468,,0.08271,,0.1953,,0.05629,,0.5495,,0.6636,,3.055,,57.65,,0.003872,,0.01842,,0.0371,,0.012
4,12.36,,21.8,,79.78,,466.1,,0.08772,,0.09445,,0.06015,,0.03745,,0.193,,0.06404,,0.2978,,1.502,,2.203,,20.95,,0.007112,,0.02493,,0.02703,,0.01293
4,14.64,,15.24,,95.77,,651.9,,0.1132,,0.1339,,0.09966,,0.07064,,0.2116,,0.06346,,0.5115,,0.7372,,3.814,,42.76,,0.005508,,0.04412,,0.04436,,0.01623
4,14.62,,24.02,,94.57,,662.7,,0.08974,,0.08606,,0.03102,,0.02957,,0.1685,,0.05866,,0.3721,,1.111,,2.279,,33.76,,0.004868,,0.01818,,0.01121,,0.008606
4,15.37,,22.76,,100.2,,728.2,,0.092,,0.1036,,0.1122,,0.07483,,0.1717,,0.06097,,0.3129,,0.8413,,2.075,,29.44,,0.009882,,0.02444,,0.04531,,0.01763
4,13.27,,14.76,,84.74,,551.7,,0.07355,,0.05055,,0.03261,,0.02648,,0.1386,,0.05318,,0.4057,,1.153,,2.701,,36.35,,0.004481,,0.01038,,0.01358,,0.01082
4,13.45,,18.3,,86.6,,555.1,,0.1022,,0.08165,,0.03974,,0.0278,,0.1638,,0.0571,,0.295,,1.373,,2.099,,25.22,,0.005884,,0.01491,,0.01872,,0.009366
4,15.06,,19.83,,100.3,,705.6,,0.1039,,0.1553,,0.17,,0.08815,,0.1855,,0.06284,,0.4768,,0.9644,,3.706,,47.14,,0.00925,,0.03715,,0.04867,,0.01851
5,20.26,,23.03,,132.4,,1264,,0.09078,,0.1313,,0.1465,,0.08683,,0.2095,,0.05649,,0.7576,,1.509,,4.554,,87.87,,0.006016,,0.03482,,0.04232,,0.01269
5,12.18,,17.84,,77.79,,451.1,,0.1045,,0.07057,,0.0249,,0.02941,,0.19,,0.06635,,0.3661,,1.511,,2.41,,24.44,,0.005433,,0.01179,,0.01131,,0.01519
5,9.787,,19.94,,62.11,,294.5,,0.1024,,0.05301,,0.006829,,0.007937,,0.135,,0.0689,,0.335,,2.043,,2.132,,20.05,,0.01113,,0.01463,,0.005308,,0.00525
5,11.6,,12.84,,74.34,,412.6,,0.08983,,0.07525,,0.04196,,0.0335,,0.162,,0.06582,,0.2315,,0.5391,,1.475,,15.75,,0.006153,,0.0133,,0.01693,,0.006884
5,14.42,,19.77,,94.48,,642.5,,0.09752,,0.1141,,0.09388,,0.05839,,0.1879,,0.0639,,0.2895,,1.851,,2.376,,26.85,,0.008005,,0.02895,,0.03321,,0.01424
5,13.61,,24.98,,88.05,,582.7,,0.09488,,0.08511,,0.08625,,0.04489,,0.1609,,0.05871,,0.4565,,1.29,,2.861,,43.14,,0.005872,,0.01488,,0.02647,,0.009921
5,6.981,,13.43,,43.79,,143.5,,0.117,,0.07568,,0,,0,,0.193,,0.07818,,0.2241,,1.508,,1.553,,9.833,,0.01019,,0.01084,,0,,0
5,12.18,,20.52,,77.22,,458.7,,0.08013,,0.04038,,0.02383,,0.0177,,0.1739,,0.05677,,0.1924,,1.571,,1.183,,14.68,,0.00508,,0.006098,,0.01069,,0.006797
5,9.876,,19.4,,63.95,,298.3,,0.1005,,0.09697,,0.06154,,0.03029,,0.1945,,0.06322,,0.1803,,1.222,,1.528,,11.77,,0.009058,,0.02196,,0.03029,,0.01112
5,10.49,,19.29,,67.41,,336.1,,0.09989,,0.08578,,0.02995,,0.01201,,0.2217,,0.06481,,0.355,,1.534,,2.302,,23.13,,0.007595,,0.02219,,0.0288,,0.008614
5,13.11,,15.56,,87.21,,530.2,,0.1398,,0.1765,,0.2071,,0.09601,,0.1925,,0.07692,,0.3908,,0.9238,,2.41,,34.66,,0.007162,,0.02912,,0.05473,,0.01388
5,11.64,,18.33,,75.17,,412.5,,0.1142,,0.1017,,0.0707,,0.03485,,0.1801,,0.0652,,0.306,,1.657,,2.155,,20.62,,0.00854,,0.0231,,0.02945,,0.01398
5,12.36,,18.54,,79.01,,466.7,,0.08477,,0.06815,,0.02643,,0.01921,,0.1602,,0.06066,,0.1199,,0.8944,,0.8484,,9.227,,0.003457,,0.01047,,0.01167,,0.005558
5,22.27,,19.67,,152.8,,1509,,0.1326,,0.2768,,0.4264,,0.1823,,0.2556,,0.07039,,1.215,,1.545,,10.05,,170,,0.006515,,0.08668,,0.104,,0.0248
5,11.34,,21.26,,72.48,,396.5,,0.08759,,0.06575,,0.05133,,0.01899,,0.1487,,0.06529,,0.2344,,0.9861,,1.597,,16.41,,0.009113,,0.01557,,0.02443,,0.006435
5,9.777,,16.99,,62.5,,290.2,,0.1037,,0.08404,,0.04334,,0.01778,,0.1584,,0.07065,,0.403,,1.424,,2.747,,22.87,,0.01385,,0.02932,,0.02722,,0.01023
5,12.63,,20.76,,82.15,,480.4,,0.09933,,0.1209,,0.1065,,0.06021,,0.1735,,0.0707,,0.3424,,1.803,,2.711,,20.48,,0.01291,,0.04042,,0.05101,,0.02295
5,14.26,,19.65,,97.83,,629.9,,0.07837,,0.2233,,0.3003,,0.07798,,0.1704,,0.07769,,0.3628,,1.49,,3.399,,29.25,,0.005298,,0.07446,,0.1435,,0.02292
5,10.51,,20.19,,68.64,,334.2,,0.1122,,0.1303,,0.06476,,0.03068,,0.1922,,0.07782,,0.3336,,1.86,,2.041,,19.91,,0.01188,,0.03747,,0.04591,,0.01544
5,8.726,,15.83,,55.84,,230.9,,0.115,,0.08201,,0.04132,,0.01924,,0.1649,,0.07633,,0.1665,,0.5864,,1.354,,8.966,,0.008261,,0.02213,,0.03259,,0.0104
5,11.93,,21.53,,76.53,,438.6,,0.09768,,0.07849,,0.03328,,0.02008,,0.1688,,0.06194,,0.3118,,0.9227,,2,,24.79,,0.007803,,0.02507,,0.01835,,0.007711
6,8.95,,15.76,,58.74,,245.2,,0.09462,,0.1243,,0.09263,,0.02308,,0.1305,,0.07163,,0.3132,,0.9789,,3.28,,16.94,,0.01835,,0.0676,,0.09263,,0.02308
6,14.87,,16.67,,98.64,,682.5,,0.1162,,0.1649,,0.169,,0.08923,,0.2157,,0.06768,,0.4266,,0.9489,,2.989,,41.18,,0.006985,,0.02563,,0.03011,,0.01271
6,15.78,,22.91,,105.7,,782.6,,0.1155,,0.1752,,0.2133,,0.09479,,0.2096,,0.07331,,0.552,,1.072,,3.598,,58.63,,0.008699,,0.03976,,0.0595,,0.0139
6,17.95,,20.01,,114.2,,982,,0.08402,,0.06722,,0.07293,,0.05596,,0.2129,,0.05025,,0.5506,,1.214,,3.357,,54.04,,0.004024,,0.008422,,0.02291,,0.009863
6,11.41,,10.82,,73.34,,403.3,,0.09373,,0.06685,,0.03512,,0.02623,,0.1667,,0.06113,,0.1408,,0.4607,,1.103,,10.5,,0.00604,,0.01529,,0.01514,,0.00646
6,18.66,,17.12,,121.4,,1077,,0.1054,,0.11,,0.1457,,0.08665,,0.1966,,0.06213,,0.7128,,1.581,,4.895,,90.47,,0.008102,,0.02101,,0.03342,,0.01601
6,24.25,,20.2,,166.2,,1761,,0.1447,,0.2867,,0.4268,,0.2012,,0.2655,,0.06877,,1.509,,3.12,,9.807,,233,,0.02333,,0.09806,,0.1278,,0.01822
6,14.5,,10.89,,94.28,,640.7,,0.1101,,0.1099,,0.08842,,0.05778,,0.1856,,0.06402,,0.2929,,0.857,,1.928,,24.19,,0.003818,,0.01276,,0.02882,,0.012
6,13.37,,16.39,,86.1,,553.5,,0.07115,,0.07325,,0.08092,,0.028,,0.1422,,0.05823,,0.1639,,1.14,,1.223,,14.66,,0.005919,,0.0327,,0.04957,,0.01038
6,13.85,,17.21,,88.44,,588.7,,0.08785,,0.06136,,0.0142,,0.01141,,0.1614,,0.0589,,0.2185,,0.8561,,1.495,,17.91,,0.004599,,0.009169,,0.009127,,0.004814
6,13.61,,24.69,,87.76,,572.6,,0.09258,,0.07862,,0.05285,,0.03085,,0.1761,,0.0613,,0.231,,1.005,,1.752,,19.83,,0.004088,,0.01174,,0.01796,,0.00688
6,19,,18.91,,123.4,,1138,,0.08217,,0.08028,,0.09271,,0.05627,,0.1946,,0.05044,,0.6896,,1.342,,5.216,,81.23,,0.004428,,0.02731,,0.0404,,0.01361
6,15.1,,16.39,,99.58,,674.5,,0.115,,0.1807,,0.1138,,0.08534,,0.2001,,0.06467,,0.4309,,1.068,,2.796,,39.84,,0.009006,,0.04185,,0.03204,,0.02258
6,19.79,,25.12,,130.4,,1192,,0.1015,,0.1589,,0.2545,,0.1149,,0.2202,,0.06113,,0.4953,,1.199,,2.765,,63.33,,0.005033,,0.03179,,0.04755,,0.01043
6,12.19,,13.29,,79.08,,455.8,,0.1066,,0.09509,,0.02855,,0.02882,,0.188,,0.06471,,0.2005,,0.8163,,1.973,,15.24,,0.006773,,0.02456,,0.01018,,0.008094
6,15.46,,19.48,,101.7,,748.9,,0.1092,,0.1223,,0.1466,,0.08087,,0.1931,,0.05796,,0.4743,,0.7859,,3.094,,48.31,,0.00624,,0.01484,,0.02813,,0.01093
6,16.16,,21.54,,106.2,,809.8,,0.1008,,0.1284,,0.1043,,0.05613,,0.216,,0.05891,,0.4332,,1.265,,2.844,,43.68,,0.004877,,0.01952,,0.02219,,0.009231
6,15.71,,13.93,,102,,761.7,,0.09462,,0.09462,,0.07135,,0.05933,,0.1816,,0.05723,,0.3117,,0.8155,,1.972,,27.94,,0.005217,,0.01515,,0.01678,,0.01268
6,18.45,,21.91,,120.2,,1075,,0.0943,,0.09709,,0.1153,,0.06847,,0.1692,,0.05727,,0.5959,,1.202,,3.766,,68.35,,0.006001,,0.01422,,0.02855,,0.009148
6,12.77,,22.47,,81.72,,506.3,,0.09055,,0.05761,,0.04711,,0.02704,,0.1585,,0.06065,,0.2367,,1.38,,1.457,,19.87,,0.007499,,0.01202,,0.02332,,0.00892
